size,color,refresh_rate,repeat,Y,x,y
16,0.14047564579899893,95.55555555555554,1,5.081,0.2758,0.301
16,0.12668871584432848,107.77777777777777,1,3.769,0.2743,0.297
16,0.901855372322704,34.44444444444444,0,338.253,0.2294544240039044,2.62393497819865e-16
16,0.3210006144457002,120.0,1,36.26,0.2294544240039044,2.62393497819865e-16
16,0.06147467068473124,71.11111111111111,0,0.629,0.2294544240039044,2.62393497819865e-16
16,0.8133431125873235,83.33333333333333,0,280.591,0.2294544240039044,2.62393497819865e-16
16,0.17271388129436815,120.0,1,8.264,0.2294544240039044,2.62393497819865e-16
16,0.7335178556285477,83.33333333333333,1,228.237,0.2294544240039044,2.62393497819865e-16
16,0.5966016958353019,46.666666666666664,0,145.135,0.2294544240039044,2.62393497819865e-16
16,0.09292843517846627,120.0,1,1.641,0.2294544240039044,2.62393497819865e-16
16,0.07558270271592309,95.55555555555554,1,0.874,0.2294544240039044,2.62393497819865e-16
16,0.5966016958353019,95.55555555555554,1,145.096,0.2294544240039044,2.62393497819865e-16
16,1.0,95.55555555555554,0,409.323,0.2294544240039044,2.62393497819865e-16
16,0.5380484445259031,120.0,1,115.998,0.2294544240039044,2.62393497819865e-16
16,0.11425489899687216,34.44444444444444,1,2.819,0.2294544240039044,2.62393497819865e-16
16,0.6615270187932356,95.55555555555554,1,184.396,0.2294544240039044,2.62393497819865e-16
16,0.05544126201879391,46.666666666666664,1,0.507,0.2294544240039044,2.62393497819865e-16
16,0.17271388129436815,120.0,0,8.202,0.2294544240039044,2.62393497819865e-16
16,0.14047564579899893,71.11111111111111,1,4.989,0.2294544240039044,2.62393497819865e-16
16,0.3559335834735583,46.666666666666664,1,45.059,0.2294544240039044,2.62393497819865e-16
16,0.8133431125873235,95.55555555555554,0,279.458,0.2866,0.2998
16,0.05544126201879391,71.11111111111111,0,0.485,0.2294544240039044,2.62393497819865e-16
16,0.17271388129436815,10.0,1,8.138,0.2769,0.2998
16,0.15576294172003172,71.11111111111111,1,6.292,0.2294544240039044,2.62393497819865e-16
16,0.05544126201879391,83.33333333333333,1,0.454,0.2646,0.3049
16,0.3559335834735583,120.0,0,45.092,0.2832,0.301
16,0.14047564579899893,95.55555555555554,0,4.928,0.2294544240039044,2.62393497819865e-16
16,0.6615270187932356,22.22222222222222,0,182.504,0.2864,0.2999
16,0.17271388129436815,58.888888888888886,0,8.084,0.2294544240039044,2.62393497819865e-16
16,0.4376179965934659,71.11111111111111,0,72.613,0.2294544240039044,2.62393497819865e-16
16,0.2894961286567438,46.666666666666664,0,27.674,0.2294544240039044,2.62393497819865e-16
16,0.4852418802655602,107.77777777777777,0,90.693,0.2294544240039044,2.62393497819865e-16
16,0.06147467068473124,95.55555555555554,0,0.564,0.2698,0.3013
16,0.2610836388957092,107.77777777777777,0,22.173,0.2294544240039044,2.62393497819865e-16
16,0.06147467068473124,120.0,0,0.553,0.2709,0.3027
16,0.5380484445259031,107.77777777777777,0,113.929,0.2294544240039044,2.62393497819865e-16
16,0.10304139447451709,83.33333333333333,1,1.994,0.2727,0.2986
16,0.06816466649902507,22.22222222222222,1,0.665,0.2294544240039044,2.62393497819865e-16
16,0.07558270271592309,71.11111111111111,0,0.845,0.2294544240039044,2.62393497819865e-16
16,0.07558270271592309,34.44444444444444,0,0.842,0.2688,0.3058
16,0.8133431125873235,46.666666666666664,0,275.953,0.2294544240039044,2.62393497819865e-16
16,0.2894961286567438,120.0,1,27.723,0.2294544240039044,2.62393497819865e-16
16,0.4376179965934659,58.888888888888886,1,72.137,0.2294544240039044,2.62393497819865e-16
16,0.07558270271592309,10.0,1,0.864,0.2294544240039044,2.62393497819865e-16
16,0.15576294172003172,22.22222222222222,0,6.145,0.2765,0.2996
16,0.4376179965934659,120.0,0,72.146,0.2842,0.3005
16,0.23545968236365628,83.33333333333333,1,16.948,0.2294544240039044,2.62393497819865e-16
16,0.049999999999999996,58.888888888888886,1,0.422,0.2705,0.3171
16,0.8133431125873235,120.0,0,276.365,0.2867,0.2996
16,0.17271388129436815,22.22222222222222,1,7.948,0.2294544240039044,2.62393497819865e-16
16,0.19150951094247873,46.666666666666664,0,10.494,0.2294544240039044,2.62393497819865e-16
16,0.7335178556285477,120.0,0,224.625,0.2294544240039044,2.62393497819865e-16
16,0.3559335834735583,10.0,1,44.372,0.2294544240039044,2.62393497819865e-16
16,0.5966016958353019,71.11111111111111,1,142.609,0.2854,0.3
16,0.12668871584432848,83.33333333333333,0,3.591,0.2746,0.2973
16,0.17271388129436815,46.666666666666664,1,7.902,0.2772,0.2996
16,0.17271388129436815,58.888888888888886,1,7.887,0.2772,0.2993
16,0.2610836388957092,10.0,1,21.734,0.2821,0.302
16,0.2894961286567438,83.33333333333333,0,27.239,0.2821,0.3009
16,0.2610836388957092,95.55555555555554,0,21.767,0.2294544240039044,2.62393497819865e-16
16,0.23545968236365628,95.55555555555554,0,16.79,0.2294544240039044,2.62393497819865e-16
16,0.3210006144457002,34.44444444444444,1,34.757,0.2294544240039044,2.62393497819865e-16
16,0.21235057950506092,120.0,0,13.155,0.2294544240039044,2.62393497819865e-16
16,0.17271388129436815,107.77777777777777,1,7.825,0.2294544240039044,2.62393497819865e-16
16,0.3946681412529161,58.888888888888886,1,55.653,0.284,0.3011
16,0.7335178556285477,95.55555555555554,1,223.012,0.2294544240039044,2.62393497819865e-16
16,0.5380484445259031,34.44444444444444,0,112.334,0.2851,0.2999
16,0.08380800850724197,22.22222222222222,0,1.067,0.2725,0.2939
16,0.5966016958353019,58.888888888888886,0,141.362,0.2294544240039044,2.62393497819865e-16
16,0.06147467068473124,95.55555555555554,1,0.54,0.2684,0.3039
16,0.2894961286567438,58.888888888888886,1,27.041,0.2822,0.301
16,0.10304139447451709,95.55555555555554,0,1.909,0.2735,0.2973
16,0.23545968236365628,120.0,1,16.709,0.2294544240039044,2.62393497819865e-16
16,0.5966016958353019,22.22222222222222,1,141.101,0.2855,0.2999
16,0.19150951094247873,120.0,0,10.366,0.2776,0.2986
16,0.11425489899687216,22.22222222222222,0,2.622,0.2294544240039044,2.62393497819865e-16
16,0.06816466649902507,120.0,1,0.575,0.2294544240039044,2.62393497819865e-16
16,0.4376179965934659,22.22222222222222,0,70.864,0.2294544240039044,2.62393497819865e-16
16,0.17271388129436815,34.44444444444444,1,7.749,0.277,0.2992
16,0.7335178556285477,34.44444444444444,1,221.938,0.2294544240039044,2.62393497819865e-16
16,0.11425489899687216,107.77777777777777,0,2.586,0.2733,0.2945
16,0.14047564579899893,10.0,0,4.707,0.2763,0.3014
16,0.2610836388957092,120.0,0,21.556,0.2821,0.3015
16,0.11425489899687216,95.55555555555554,1,2.576,0.2294544240039044,2.62393497819865e-16
16,0.06147467068473124,83.33333333333333,1,0.54,0.2727,0.3042
16,0.14047564579899893,120.0,0,4.662,0.2763,0.3002
16,0.3946681412529161,83.33333333333333,0,55.216,0.2841,0.3008
16,0.3559335834735583,120.0,1,43.656,0.2835,0.3008
16,0.049999999999999996,10.0,0,0.397,0.2294544240039044,2.62393497819865e-16
16,1.0,120.0,1,399.966,0.2294544240039044,2.62393497819865e-16
16,0.14047564579899893,46.666666666666664,0,4.725,0.2761,0.3017
16,0.15576294172003172,46.666666666666664,0,5.966,0.2294544240039044,2.62393497819865e-16
16,0.09292843517846627,95.55555555555554,0,1.498,0.2294544240039044,2.62393497819865e-16
16,0.06147467068473124,107.77777777777777,1,0.494,0.2294544240039044,2.62393497819865e-16
16,0.6615270187932356,10.0,1,178.155,0.2866,0.2997
16,0.06816466649902507,10.0,1,0.624,0.2294544240039044,2.62393497819865e-16
16,0.7335178556285477,120.0,1,221.815,0.2294544240039044,2.62393497819865e-16
16,0.11425489899687216,83.33333333333333,1,2.575,0.2731,0.2945
16,0.14047564579899893,34.44444444444444,1,4.658,0.2294544240039044,2.62393497819865e-16
16,0.14047564579899893,10.0,1,4.647,0.2763,0.3008
16,0.10304139447451709,34.44444444444444,0,1.868,0.2294544240039044,2.62393497819865e-16
16,0.049999999999999996,120.0,0,0.334,0.2294544240039044,2.62393497819865e-16
16,0.901855372322704,107.77777777777777,0,329.087,0.2294544240039044,2.62393497819865e-16
16,0.06147467068473124,107.77777777777777,0,0.494,0.2294544240039044,2.62393497819865e-16
16,0.3559335834735583,83.33333333333333,1,43.418,0.2294544240039044,2.62393497819865e-16
16,0.8133431125873235,71.11111111111111,0,272.087,0.2868,0.2995
16,1.0,34.44444444444444,1,399.586,0.2294544240039044,2.62393497819865e-16
16,0.06147467068473124,58.888888888888886,1,0.562,0.2294544240039044,2.62393497819865e-16
16,0.3559335834735583,71.11111111111111,0,43.467,0.2294544240039044,2.62393497819865e-16
16,0.5966016958353019,83.33333333333333,0,140.334,0.2294544240039044,2.62393497819865e-16
16,1.0,46.666666666666664,1,400.013,0.2868,0.2982
16,0.05544126201879391,22.22222222222222,0,0.42,0.2655,0.3022
16,0.3946681412529161,22.22222222222222,1,55.212,0.2294544240039044,2.62393497819865e-16
16,0.2610836388957092,120.0,1,21.461,0.2294544240039044,2.62393497819865e-16
16,0.14047564579899893,22.22222222222222,1,4.636,0.2761,0.3006
16,0.12668871584432848,120.0,0,3.417,0.2294544240039044,2.62393497819865e-16
16,0.4376179965934659,46.666666666666664,1,70.139,0.2844,0.3006
16,0.049999999999999996,22.22222222222222,0,0.386,0.2294544240039044,2.62393497819865e-16
16,1.0,107.77777777777777,0,399.01,0.2294544240039044,2.62393497819865e-16
16,0.09292843517846627,10.0,1,1.527,0.2294544240039044,2.62393497819865e-16
16,0.19150951094247873,10.0,0,10.193,0.2778,0.2992
16,0.15576294172003172,34.44444444444444,1,5.897,0.2766,0.2995
16,0.06147467068473124,83.33333333333333,0,0.515,0.2294544240039044,2.62393497819865e-16
16,0.7335178556285477,95.55555555555554,0,220.628,0.2294544240039044,2.62393497819865e-16
16,0.09292843517846627,34.44444444444444,1,1.5,0.2294544240039044,2.62393497819865e-16
16,0.2894961286567438,10.0,1,26.601,0.2824,0.3009
16,0.3559335834735583,107.77777777777777,0,43.276,0.2294544240039044,2.62393497819865e-16
16,0.19150951094247873,95.55555555555554,0,10.125,0.2294544240039044,2.62393497819865e-16
16,0.11425489899687216,83.33333333333333,0,2.526,0.2734,0.2943
16,0.08380800850724197,107.77777777777777,0,0.973,0.2294544240039044,2.62393497819865e-16
16,0.09292843517846627,120.0,0,1.433,0.2723,0.2995
16,0.4852418802655602,83.33333333333333,1,87.379,0.2294544240039044,2.62393497819865e-16
16,0.19150951094247873,107.77777777777777,0,10.092,0.2777,0.2985
16,0.3210006144457002,10.0,0,33.879,0.2828,0.301
16,0.901855372322704,10.0,1,327.487,0.2868,0.2987
16,0.09292843517846627,22.22222222222222,0,1.497,0.2294544240039044,2.62393497819865e-16
16,0.07558270271592309,22.22222222222222,1,0.777,0.2725,0.3042
16,0.19150951094247873,95.55555555555554,1,10.078,0.2294544240039044,2.62393497819865e-16
16,0.08380800850724197,120.0,1,0.959,0.2736,0.2926
16,0.15576294172003172,83.33333333333333,1,5.794,0.2294544240039044,2.62393497819865e-16
16,0.4852418802655602,10.0,1,86.983,0.2294544240039044,2.62393497819865e-16
16,0.21235057950506092,83.33333333333333,1,12.673,0.2791,0.2987
16,0.10304139447451709,10.0,1,1.836,0.2729,0.2975
16,0.19150951094247873,71.11111111111111,0,9.995,0.2294544240039044,2.62393497819865e-16
16,0.2610836388957092,58.888888888888886,0,20.959,0.2294544240039044,2.62393497819865e-16
16,1.0,10.0,1,397.25,0.2868,0.2981
16,0.12668871584432848,71.11111111111111,1,3.408,0.2294544240039044,2.62393497819865e-16
16,0.12668871584432848,95.55555555555554,0,3.369,0.2294544240039044,2.62393497819865e-16
16,0.8133431125873235,22.22222222222222,1,270.479,0.2868,0.2994
16,0.049999999999999996,107.77777777777777,1,0.333,0.2697,0.3055
16,0.5966016958353019,95.55555555555554,0,139.27,0.2856,0.2997
16,0.8133431125873235,58.888888888888886,1,270.803,0.2868,0.2995
16,0.2894961286567438,22.22222222222222,0,26.535,0.2294544240039044,2.62393497819865e-16
16,0.3210006144457002,22.22222222222222,1,33.964,0.2294544240039044,2.62393497819865e-16
16,0.6615270187932356,120.0,1,177.653,0.2866,0.2995
16,0.23545968236365628,46.666666666666664,0,16.252,0.2294544240039044,2.62393497819865e-16
16,0.21235057950506092,95.55555555555554,0,12.729,0.2791,0.2989
16,0.4852418802655602,58.888888888888886,0,87.071,0.2849,0.3002
16,0.5966016958353019,83.33333333333333,1,139.123,0.2294544240039044,2.62393497819865e-16
16,0.12668871584432848,58.888888888888886,1,3.387,0.2294544240039044,2.62393497819865e-16
16,0.5380484445259031,58.888888888888886,0,109.935,0.2853,0.2998
16,0.4852418802655602,58.888888888888886,1,87.13,0.2294544240039044,2.62393497819865e-16
16,0.3559335834735583,83.33333333333333,0,42.964,0.2294544240039044,2.62393497819865e-16
16,0.3946681412529161,83.33333333333333,1,54.578,0.2842,0.3008
16,0.21235057950506092,46.666666666666664,0,12.656,0.2294544240039044,2.62393497819865e-16
16,0.23545968236365628,107.77777777777777,0,16.235,0.2802,0.2998
16,0.06147467068473124,34.44444444444444,0,0.52,0.2294544240039044,2.62393497819865e-16
16,0.12668871584432848,34.44444444444444,0,3.354,0.2294544240039044,2.62393497819865e-16
16,0.11425489899687216,46.666666666666664,0,2.489,0.274,0.2957
16,0.05544126201879391,95.55555555555554,0,0.384,0.2707,0.3031
16,0.7335178556285477,71.11111111111111,1,218.544,0.2294544240039044,2.62393497819865e-16
16,0.19150951094247873,10.0,1,9.993,0.278,0.2991
16,0.7335178556285477,83.33333333333333,0,219.123,0.2867,0.2996
16,0.08380800850724197,95.55555555555554,0,0.97,0.2767,0.2939
16,0.14047564579899893,107.77777777777777,0,4.51,0.2762,0.2999
16,0.09292843517846627,10.0,0,1.459,0.2732,0.3031
16,0.14047564579899893,71.11111111111111,0,4.51,0.2765,0.3004
16,0.15576294172003172,83.33333333333333,0,5.736,0.2294544240039044,2.62393497819865e-16
16,0.7335178556285477,34.44444444444444,0,218.303,0.2294544240039044,2.62393497819865e-16
16,0.3559335834735583,22.22222222222222,1,42.7,0.2837,0.3008
16,0.06147467068473124,10.0,1,0.525,0.2687,0.3047
16,0.11425489899687216,46.666666666666664,1,2.496,0.2294544240039044,2.62393497819865e-16
16,1.0,22.22222222222222,1,395.519,0.2294544240039044,2.62393497819865e-16
16,0.17271388129436815,83.33333333333333,0,7.542,0.2775,0.2991
16,0.12668871584432848,22.22222222222222,0,3.36,0.2294544240039044,2.62393497819865e-16
16,0.23545968236365628,10.0,1,16.089,0.2802,0.3
16,0.21235057950506092,95.55555555555554,1,12.589,0.2294544240039044,2.62393497819865e-16
16,0.17271388129436815,107.77777777777777,0,7.444,0.2774,0.2981
16,0.09292843517846627,83.33333333333333,1,1.42,0.2727,0.3
16,0.4376179965934659,83.33333333333333,0,69.196,0.2294544240039044,2.62393497819865e-16
16,0.11425489899687216,120.0,0,2.419,0.2736,0.2927
16,0.23545968236365628,58.888888888888886,1,16.01,0.2803,0.3001
16,0.3210006144457002,107.77777777777777,0,33.544,0.2829,0.3007
16,0.5966016958353019,58.888888888888886,1,137.672,0.2294544240039044,2.62393497819865e-16
16,0.14047564579899893,58.888888888888886,1,4.48,0.2294544240039044,2.62393497819865e-16
16,0.901855372322704,34.44444444444444,1,325.43,0.2294544240039044,2.62393497819865e-16
16,0.2894961286567438,46.666666666666664,1,26.211,0.2294544240039044,2.62393497819865e-16
16,0.6615270187932356,58.888888888888886,0,176.008,0.2867,0.2996
16,0.2894961286567438,34.44444444444444,0,26.22,0.2294544240039044,2.62393497819865e-16
16,0.23545968236365628,71.11111111111111,0,16.066,0.2802,0.3
16,0.6615270187932356,71.11111111111111,1,175.763,0.2294544240039044,2.62393497819865e-16
16,0.17271388129436815,95.55555555555554,1,7.459,0.2775,0.2985
16,0.6615270187932356,83.33333333333333,1,175.973,0.2294544240039044,2.62393497819865e-16
16,0.4376179965934659,107.77777777777777,0,69.562,0.2294544240039044,2.62393497819865e-16
16,0.4852418802655602,34.44444444444444,0,86.665,0.2294544240039044,2.62393497819865e-16
16,0.2610836388957092,107.77777777777777,1,20.956,0.2825,0.3016
16,0.901855372322704,22.22222222222222,0,325.982,0.2294544240039044,2.62393497819865e-16
16,1.0,34.44444444444444,0,396.733,0.2294544240039044,2.62393497819865e-16
16,0.21235057950506092,22.22222222222222,0,12.661,0.2294544240039044,2.62393497819865e-16
16,0.2894961286567438,107.77777777777777,1,26.342,0.2824,0.3006
16,0.2610836388957092,58.888888888888886,1,20.879,0.2294544240039044,2.62393497819865e-16
16,0.21235057950506092,22.22222222222222,1,12.557,0.2793,0.299
16,0.12668871584432848,95.55555555555554,1,3.304,0.2294544240039044,2.62393497819865e-16
16,0.10304139447451709,71.11111111111111,1,1.791,0.2734,0.296
16,0.2610836388957092,34.44444444444444,1,20.769,0.2823,0.3015
16,0.7335178556285477,10.0,1,217.809,0.2868,0.2996
16,0.06816466649902507,120.0,0,0.513,0.2294544240039044,2.62393497819865e-16
16,0.06816466649902507,10.0,0,0.579,0.272,0.3046
16,0.15576294172003172,58.888888888888886,0,5.7,0.2294544240039044,2.62393497819865e-16
16,0.15576294172003172,95.55555555555554,1,5.678,0.2294544240039044,2.62393497819865e-16
16,0.17271388129436815,83.33333333333333,1,7.385,0.2776,0.2986
16,0.7335178556285477,10.0,0,217.391,0.2868,0.2996
16,0.08380800850724197,22.22222222222222,1,0.977,0.2294544240039044,2.62393497819865e-16
16,0.11425489899687216,10.0,1,2.453,0.2728,0.2947
16,0.06816466649902507,71.11111111111111,1,0.557,0.2294544240039044,2.62393497819865e-16
16,0.06147467068473124,34.44444444444444,1,0.496,0.2294544240039044,2.62393497819865e-16
16,0.19150951094247873,34.44444444444444,1,9.82,0.2294544240039044,2.62393497819865e-16
16,0.2610836388957092,22.22222222222222,1,20.649,0.2294544240039044,2.62393497819865e-16
16,0.10304139447451709,107.77777777777777,1,1.732,0.2729,0.2949
16,0.11425489899687216,95.55555555555554,0,2.41,0.2294544240039044,2.62393497819865e-16
16,0.3559335834735583,34.44444444444444,1,42.118,0.2838,0.3008
16,0.06816466649902507,58.888888888888886,1,0.565,0.2294544240039044,2.62393497819865e-16
16,0.12668871584432848,107.77777777777777,0,3.247,0.2294544240039044,2.62393497819865e-16
16,0.15576294172003172,107.77777777777777,1,5.626,0.277,0.2988
16,0.06816466649902507,107.77777777777777,0,0.51,0.2294544240039044,2.62393497819865e-16
16,0.8133431125873235,107.77777777777777,0,267.674,0.2869,0.2992
16,0.08380800850724197,71.11111111111111,1,0.959,0.2733,0.2945
16,0.19150951094247873,58.888888888888886,1,9.779,0.278,0.2989
16,0.3559335834735583,22.22222222222222,0,42.07,0.2838,0.3007
16,0.06816466649902507,34.44444444444444,0,0.553,0.2294544240039044,2.62393497819865e-16
16,0.3210006144457002,58.888888888888886,0,33.096,0.283,0.3009
16,0.049999999999999996,22.22222222222222,1,0.341,0.2294544240039044,2.62393497819865e-16
16,0.4852418802655602,46.666666666666664,1,85.397,0.285,0.3001
16,0.2894961286567438,71.11111111111111,0,25.809,0.2294544240039044,2.62393497819865e-16
16,0.4376179965934659,34.44444444444444,1,68.458,0.2847,0.3004
16,0.3946681412529161,107.77777777777777,1,53.65,0.2294544240039044,2.62393497819865e-16
16,0.901855372322704,46.666666666666664,1,323.423,0.2294544240039044,2.62393497819865e-16
16,0.049999999999999996,107.77777777777777,0,0.311,0.2735,0.3082
16,0.3210006144457002,58.888888888888886,1,33.123,0.283,0.3009
16,0.10304139447451709,10.0,0,1.763,0.2732,0.2977
16,0.11425489899687216,71.11111111111111,0,2.398,0.2737,0.2943
16,0.09292843517846627,107.77777777777777,0,1.361,0.2294544240039044,2.62393497819865e-16
16,0.08380800850724197,107.77777777777777,1,0.887,0.2727,0.2893
16,0.23545968236365628,95.55555555555554,1,15.772,0.2804,0.2997
16,0.8133431125873235,34.44444444444444,0,266.598,0.2294544240039044,2.62393497819865e-16
16,0.3559335834735583,58.888888888888886,0,42.024,0.2294544240039044,2.62393497819865e-16
16,0.4376179965934659,71.11111111111111,1,68.539,0.2846,0.3004
16,0.06816466649902507,83.33333333333333,0,0.541,0.2294544240039044,2.62393497819865e-16
16,0.5966016958353019,120.0,0,137.098,0.2857,0.2995
16,0.4852418802655602,120.0,0,85.981,0.2294544240039044,2.62393497819865e-16
16,0.12668871584432848,46.666666666666664,1,3.261,0.2754,0.2966
16,0.4852418802655602,95.55555555555554,1,85.725,0.2294544240039044,2.62393497819865e-16
16,0.2894961286567438,58.888888888888886,0,25.759,0.2294544240039044,2.62393497819865e-16
16,0.23545968236365628,46.666666666666664,1,15.757,0.2294544240039044,2.62393497819865e-16
16,0.7335178556285477,22.22222222222222,0,216.265,0.2868,0.2995
16,0.3210006144457002,107.77777777777777,1,33.259,0.2828,0.3007
16,0.23545968236365628,120.0,0,15.882,0.2802,0.2994
16,0.049999999999999996,34.44444444444444,1,0.353,0.2294544240039044,2.62393497819865e-16
16,0.21235057950506092,34.44444444444444,1,12.3,0.2294544240039044,2.62393497819865e-16
16,0.3946681412529161,95.55555555555554,1,53.43,0.2294544240039044,2.62393497819865e-16
16,0.2610836388957092,34.44444444444444,0,20.462,0.2294544240039044,2.62393497819865e-16
16,0.5966016958353019,120.0,1,136.874,0.2857,0.2995
16,0.05544126201879391,58.888888888888886,1,0.386,0.2682,0.3018
16,0.17271388129436815,10.0,0,7.27,0.2777,0.2988
16,0.901855372322704,95.55555555555554,0,323.312,0.2294544240039044,2.62393497819865e-16
16,0.21235057950506092,107.77777777777777,0,12.405,0.2792,0.2986
16,0.4852418802655602,71.11111111111111,0,85.654,0.285,0.3
16,0.5380484445259031,34.44444444444444,1,108.192,0.2294544240039044,2.62393497819865e-16
16,0.06816466649902507,22.22222222222222,0,0.553,0.2747,0.305
16,0.3946681412529161,10.0,1,53.323,0.2844,0.3007
16,1.0,83.33333333333333,1,392.858,0.2294544240039044,2.62393497819865e-16
16,0.6615270187932356,120.0,0,175.347,0.2867,0.2994
16,0.7335178556285477,46.666666666666664,1,217.137,0.2868,0.2996
16,0.6615270187932356,34.44444444444444,1,175.195,0.2294544240039044,2.62393497819865e-16
16,1.0,83.33333333333333,0,395.158,0.2868,0.298
16,0.12668871584432848,46.666666666666664,0,3.319,0.2294544240039044,2.62393497819865e-16
16,0.07558270271592309,46.666666666666664,0,0.748,0.2701,0.3033
16,0.2894961286567438,10.0,0,25.861,0.2826,0.3007
16,0.06147467068473124,71.11111111111111,1,0.49,0.2684,0.301
16,0.11425489899687216,120.0,1,2.37,0.2744,0.2927
16,0.4852418802655602,83.33333333333333,0,85.689,0.2294544240039044,2.62393497819865e-16
16,0.3210006144457002,22.22222222222222,0,33.104,0.2294544240039044,2.62393497819865e-16
