Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low,Observer_name,Age,Gender
0.5,0.5,0.5,0.473839594256053,0.499798688204478,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0536307171986557,Ale_2,30,M
1.0,0.5,0.5,0.473839594256053,1.08816178256755,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0182656708256131,Ale_2,30,M
16.0,0.5,0.5,1.7495254400674,1.8809322748143,1.62808059460162,0.0082685424082766,0.0093634004659147,0.0072935811098284,Ale_2,30,M
-1.0,0.5,0.5,1.79115529411521,2.02914740443805,1.45251916888411,0.007938437311704,0.0113813375534911,0.0063988595160767,Ale_2,30,M
0.5,2.0,2.0,1.26817007403456,1.37898576966237,1.04724231994386,0.0134269211837545,0.0182869760334224,0.0116923966431442,Ale_2,30,M
1.0,2.0,2.0,1.92438241980772,2.27710161479505,1.7222464663463,0.0068008563881019,0.0081051822730672,0.0053415297129927,Ale_2,30,M
16.0,2.0,2.0,2.29529425257293,2.38780818602425,2.20036003326693,0.0052863041500941,0.0055928496485033,0.0050287857355276,Ale_2,30,M
-1.0,2.0,2.0,2.92122092152275,3.16153468700652,2.6586091604795,0.0040967269138993,0.0044589748844894,0.0038755351067729,Ale_2,30,M
0.5,4.0,4.0,1.53835347763504,1.6366759295249,1.42989529522047,0.0082553169965646,0.009431488148278,0.0073807391460469,Ale_2,30,M
1.0,4.0,4.0,1.16369184937439,1.56519469326482,0.958851965632335,0.0136675374517713,0.0190442332251752,0.0080001608040522,Ale_2,30,M
16.0,4.0,4.0,2.98689531745407,3.67649280320188,2.73759174005366,0.003469832166583,0.0036311819003297,0.0034293088669873,Ale_2,30,M
-1.0,4.0,4.0,2.13732756429782,2.28642332844764,1.95948146651747,0.0047447253255451,0.0054171687659489,0.004331572039384,Ale_2,30,M
0.5,8.0,8.0,1.9070851080976,2.03090253533075,1.75531979763629,0.003083869608772,0.0039848004657738,0.0025174553844695,Ale_2,30,M
1.0,8.0,8.0,2.86107588510736,3.08659824314568,2.64994478803292,0.0009173746862579,0.0010856528772902,0.0008379328464191,Ale_2,30,M
16.0,8.0,8.0,3.39463254765423,3.65542008040329,2.23987547068085,0.0008437299034716,0.0018202557181291,0.0008437299034716,Ale_2,30,M
-1.0,8.0,8.0,2.75763451219327,2.94007349974293,2.59769239892735,0.0009864696977681,0.0011452495026959,0.0008794675829591,Ale_2,30,M
0.5,0.5,0.5,0.641240685452668,0.741854386421382,0.473839594256053,0.0391775183543653,0.0571636583569491,0.0321830438003876,Ali_2,29,M
1.0,0.5,0.5,0.954782504275609,1.12049341870433,0.757398190296492,0.0223441108873541,0.0312693266841474,0.0174397155829636,Ali_2,29,M
16.0,0.5,0.5,1.50808575378288,1.67491454685784,1.36870350827954,0.0106774840056735,0.0125799441695157,0.0089161552396375,Ali_2,29,M
-1.0,0.5,0.5,2.9840760180736,3.20282144087356,2.69656997418712,0.0034471946065648,0.0040078227181869,0.0031229424442302,Ali_2,29,M
0.5,1.0,1.0,0.990865327528812,1.3349795148111,0.990865327528812,0.0207787088172303,0.0207787088172303,0.0129253061814551,Ali_2,29,M
1.0,1.0,1.0,1.86631382932762,1.99729582860453,1.71841085201828,0.0073968828012516,0.0084836244471618,0.0066215928106138,Ali_2,29,M
16.0,1.0,1.0,3.12844248885102,3.34355795737545,2.85627378522188,0.003574813266121,0.0039589013137171,0.0033466054336118,Ali_2,29,M
-1.0,1.0,1.0,3.54145184047107,4.56929458317947,3.54145184047107,0.0031784764509525,0.0031784764509525,0.0026317806421221,Ali_2,29,M
0.5,2.0,2.0,0.97500812792929,1.12156895226496,0.848661527976933,0.0204490357374782,0.0252366481332545,0.0163952428305559,Ali_2,29,M
1.0,2.0,2.0,3.69200625229137,3.89346059067563,3.45889857345838,0.0036107397472858,0.0036989570862545,0.003558135876698,Ali_2,29,M
16.0,2.0,2.0,3.44444889316881,3.65896345968511,3.11676611162814,0.0037056600405865,0.0039104714467688,0.0036212187761357,Ali_2,29,M
-1.0,2.0,2.0,4.95060819788804,5.24337688195915,4.64078238569282,0.0034292610171807,0.0034573626692998,0.003399509263082,Ali_2,29,M
0.5,4.0,4.0,1.61352132389339,1.86448233541863,1.24922184768678,0.0075723033690888,0.0120470873016934,0.0058786476618467,Ali_2,29,M
1.0,4.0,4.0,2.07225801061853,2.41050583978405,1.66380820203085,0.0049652251991708,0.0071666237061954,0.0040686667048799,Ali_2,29,M
16.0,4.0,4.0,4.69865206585241,4.9391255547478,4.69865206585241,0.0037517424657634,0.0037517424657634,0.0037517424657634,Ali_2,29,M
-1.0,4.0,4.0,4.70814525830044,4.90740665764734,4.298438249056,0.0037550978037165,0.0037550978037165,0.0037550978037165,Ali_2,29,M
0.5,8.0,8.0,2.22874096078325,2.37425502404688,1.95366057557034,0.0018506053444821,0.0028550941449399,0.0015037645032308,Ali_2,29,M
1.0,8.0,8.0,2.27164219591085,2.53484491673974,1.99303459925038,0.0017373341804038,0.002676797461318,0.0012280752499492,Ali_2,29,M
16.0,8.0,8.0,6.23108419103503,6.49468844219745,5.87677884683567,0.0022407592848477,0.0022407592848477,0.0022407592848477,Ali_2,29,M
-1.0,8.0,8.0,5.33629121979482,5.59886886397528,4.88421612389829,0.0018230262252908,0.0018230262252908,0.0018230262252908,Ali_2,29,M
0.5,10.0,10.0,1.19610420183725,1.38565297677326,1.06583413667947,0.012058502341379,0.0153770830521245,0.0085538601622168,Chuyao_2,23,F
1.0,10.0,10.0,3.56246698104624,3.78213058157272,3.31817191468751,0.0002548700202263,0.0002922704832285,0.0002548700202263,Chuyao_2,23,F
16.0,10.0,10.0,3.49463829635806,4.39324744912584,3.27372116621861,0.0002594633497361,0.0003060115845328,0.0002594633497361,Chuyao_2,23,F
-1.0,10.0,10.0,4.68512766308688,4.86393986121503,4.50588562787336,0.0005178813247158,0.0005178813247158,0.0005178813247158,Chuyao_2,23,F
0.5,12.0,11.9,0.782972636155783,0.874549859806835,0.473839594256053,0.0319802797387431,0.063013886775297,0.0269384997380016,Chuyao_2,23,F
1.0,12.0,11.9,2.17134760411055,2.32777634066323,1.99085497213192,0.0040520042802906,0.0050890707231874,0.0033504152924614,Chuyao_2,23,F
16.0,12.0,11.9,3.49798223960016,3.66337411194642,3.31342444916054,0.0010961638076248,0.001247765698605,0.0009940288149875,Chuyao_2,23,F
-1.0,12.0,11.9,3.57219962392798,3.80868733334495,3.31909277560116,0.0010468271417418,0.0012424239171772,0.0009254019227248,Chuyao_2,23,F
0.5,14.0,13.3,0.473839594256053,0.974526770729586,0.473839594256053,0.0704608163413424,0.0704608163413424,0.0277376241224983,Chuyao_2,23,F
1.0,14.0,13.3,1.3114946428642,1.50272071361076,1.09480657136112,0.0174318705690246,0.023266571310901,0.0138419445301523,Chuyao_2,23,F
16.0,14.0,13.3,5.20064904216726,5.70668483446449,3.20569654703165,0.0018714180202994,0.0034696155596556,0.0017105278801648,Chuyao_2,23,F
-1.0,14.0,13.3,3.7256232904827,3.99194516854912,3.49690450037639,0.0027462245716814,0.0030169642769811,0.0024994192454593,Chuyao_2,23,F
0.5,16.0,14.9,0.473839594256053,0.644334306027347,0.473839594256053,0.0819619933183805,0.0819619933183805,0.0589660635063155,Chuyao_2,23,F
1.0,16.0,14.9,0.707575761794769,0.861240179643837,0.590333807694605,0.0530424762576221,0.0649459720715983,0.0421073009190527,Chuyao_2,23,F
16.0,16.0,14.9,4.70871731757434,6.10155934796274,4.43424268428401,0.0051256059861851,0.0054380694239189,0.0039286980292479,Chuyao_2,23,F
-1.0,16.0,14.9,6.8805084942713,7.27854873696274,6.49589963954275,0.0033723919790521,0.0036437342031376,0.0030934315520527,Chuyao_2,23,F
0.5,0.5,0.5,0.677010428618531,0.775210008978745,0.594832270350581,0.0364530818815257,0.0431910699731299,0.0302683554782311,Claire_2,26,F
1.0,0.5,0.5,1.21556976940744,1.52854816326233,0.96371322514302,0.0153009490208305,0.0220319486490492,0.0104345376132983,Claire_2,26,F
16.0,0.5,0.5,2.3753015065169,2.61210425387211,2.17683360673548,0.0049062682070523,0.005675944537236,0.0042109867106426,Claire_2,26,F
-1.0,0.5,0.5,1.00574600564233,1.17386830783259,0.657822691427338,0.0206440533070068,0.0378780920652208,0.0161895936333883,Claire_2,26,F
0.5,2.0,2.0,1.2526006995623,1.39171966838957,1.08763437676862,0.0137020079990307,0.0172213088518447,0.0115156000060313,Claire_2,26,F
1.0,2.0,2.0,2.71902412716584,2.89270822246552,2.54408338376326,0.0043617910398445,0.0046707057436749,0.0041291298285904,Claire_2,26,F
16.0,2.0,2.0,2.99417374857598,3.27432915956531,2.75470698805743,0.0040202735053707,0.0043086103113575,0.0037981178564639,Claire_2,26,F
-1.0,2.0,2.0,2.63426569703221,2.95510274521664,2.36953421458923,0.0045008342934448,0.0050767148649628,0.0040601015937139,Claire_2,26,F
0.5,4.0,4.0,1.87689830009311,1.99542899065903,1.74944267107769,0.0058136239796015,0.0065578763771608,0.0052626816711701,Claire_2,26,F
1.0,4.0,4.0,2.36021938846473,2.65314529425115,2.15502199523596,0.0041674107542122,0.0046893052121979,0.0037151614008688,Claire_2,26,F
16.0,4.0,4.0,3.10331754824751,3.48194044752541,2.80451415019422,0.003429410741672,0.003576181671209,0.0034015672458375,Claire_2,26,F
-1.0,4.0,4.0,3.08176718184681,3.38493334128821,2.79446563226502,0.0034355064499675,0.0035838359444087,0.0033966523982186,Claire_2,26,F
0.5,8.0,8.0,1.99508315588947,2.23728611063715,1.78189695065889,0.0026678804412713,0.003807957416367,0.001827252955365,Claire_2,26,F
1.0,8.0,8.0,3.08776395895577,3.57228513683457,2.75222117179045,0.0008377355762738,0.0009907544612836,0.0008377355762738,Claire_2,26,F
16.0,8.0,8.0,3.52541777141411,3.69921860256622,3.21011644594992,0.00087415701479,0.00087415701479,0.00087415701479,Claire_2,26,F
-1.0,8.0,8.0,2.95020824209126,3.09583628916027,2.76755675374921,0.0008754467015684,0.0009787971846078,0.0008364226449881,Claire_2,26,F
0.5,0.5,0.5,0.473839594256053,0.624129514334872,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0405895486101344,Dounia_2,23,F
1.0,0.5,0.5,0.90060157687557,1.03579274857085,0.748588017030744,0.0243822758054724,0.0317824660944617,0.0197279045560548,Dounia_2,23,F
16.0,0.5,0.5,2.00289556285066,2.13238375740753,1.3381711698411,0.0065437439326007,0.0130628847818694,0.0058782186282635,Dounia_2,23,F
-1.0,0.5,0.5,2.53654348442583,3.11829771384274,2.53654348442583,0.0044110789720936,0.0044110789720936,0.0032397543596866,Dounia_2,23,F
0.5,2.0,2.0,1.22527024818807,1.32101044426947,1.09346145035797,0.0142059988540214,0.0170751532499421,0.0125535737627395,Dounia_2,23,F
1.0,2.0,2.0,1.0051394661011,1.75115114220389,1.0051394661011,0.0195039898117153,0.0195039898117153,0.0078904910016451,Dounia_2,23,F
16.0,2.0,2.0,2.55505457331369,2.72900718510669,2.27812385889296,0.0046487262694104,0.0053383842138104,0.0043466082240888,Dounia_2,23,F
-1.0,2.0,2.0,2.29114209851348,2.42978208140264,2.16470552880251,0.0052987686758675,0.0057204697337471,0.0049237897570314,Dounia_2,23,F
0.5,4.0,4.0,1.72626938297106,1.83747940588007,1.54047879994629,0.0067131375467506,0.0082346338176307,0.0060253316557599,Dounia_2,23,F
1.0,4.0,4.0,2.86886049527068,3.13986240212669,2.64942722875304,0.0035318875040754,0.0037192645259338,0.0034203988647446,Dounia_2,23,F
16.0,4.0,4.0,3.36932877703445,3.56541907508358,3.36932877703445,0.0033965230218749,0.0033965230218749,0.0033965230218749,Dounia_2,23,F
-1.0,4.0,4.0,2.44697808661594,3.28764240542628,2.1818626313935,0.0040031389146123,0.0046087179616658,0.0033991870201759,Dounia_2,23,F
0.5,8.0,8.0,1.41360824948872,1.64378311664993,0.979228116754098,0.0072632373889305,0.0164881260920803,0.0048311945436171,Dounia_2,23,F
1.0,8.0,8.0,2.63061425965135,2.85222402453895,2.44804404947115,0.0011067682616599,0.0013647309307191,0.0009223849441474,Dounia_2,23,F
16.0,8.0,8.0,3.97667256906897,4.40591767746516,3.6003034558894,0.0010573482763674,0.0010573482763674,0.0010573482763674,Dounia_2,23,F
-1.0,8.0,8.0,6.72810189002427,7.42022790681831,6.26561021696362,0.0024116113219622,0.0024116113219622,0.0024116113219622,Dounia_2,23,F
0.5,0.5,0.5,0.473839594256053,0.637865600487455,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0394501497983489,haoyu_2,22,M
1.0,0.5,0.5,0.840424066509224,1.0950092460911,0.618566554646563,0.0269770815280587,0.0410650726307203,0.0180861093250296,haoyu_2,22,M
16.0,0.5,0.5,1.2286089644305,1.40143081529266,0.878557481351263,0.015037550274965,0.0252890200851581,0.0120907801990445,haoyu_2,22,M
-1.0,0.5,0.5,1.7728122415251,1.94309590361271,1.52655163488517,0.0080812982249552,0.0104578765901952,0.0068948227063545,haoyu_2,22,M
0.5,2.0,2.0,0.800922800554255,0.941260993114776,0.705375622559621,0.0274766781067537,0.0329248426180081,0.0215888879289911,haoyu_2,22,M
1.0,2.0,2.0,1.21375523392117,1.36472518791023,1.07110609681916,0.0144267608383745,0.0176460452862413,0.011895496538628,haoyu_2,22,M
16.0,2.0,2.0,1.88276206672045,2.25595883656144,1.54100770560386,0.0070347734208298,0.0097255000402762,0.005407743095204,haoyu_2,22,M
-1.0,2.0,2.0,1.99155727943342,2.09469844319168,1.86969992092429,0.0064554231840778,0.0071115597800114,0.0059932280430431,haoyu_2,22,M
0.5,4.0,4.0,1.08776949088772,1.18494450236429,0.767150501508615,0.0153777898617686,0.0271592740983308,0.0132370954684326,haoyu_2,22,M
1.0,4.0,4.0,1.42436940311092,1.52838698044323,1.28402498371083,0.0094983038550496,0.0114662224400552,0.0083534376808443,haoyu_2,22,M
16.0,4.0,4.0,2.50633610682418,2.66747525873543,2.36134019767349,0.0039066066765437,0.0041650987852997,0.0036996793693633,haoyu_2,22,M
-1.0,4.0,4.0,2.58522508367537,2.91151286678841,2.33858130878426,0.0037959660131656,0.0042130778620975,0.0035067575553391,haoyu_2,22,M
0.5,8.0,8.0,1.16895846090592,1.27792318072854,1.06838865027055,0.0114045099877931,0.0138299125069182,0.0093031159290759,haoyu_2,22,M
1.0,8.0,8.0,1.8407657859444,2.05202876658033,1.63839911936365,0.0034462507254101,0.0048767231821422,0.0024334406480826,haoyu_2,22,M
16.0,8.0,8.0,4.75647712106935,5.0468344801056,4.41536824015298,0.0014958495320827,0.0014958495320827,0.0014958495320827,haoyu_2,22,M
-1.0,8.0,8.0,3.72360417611153,3.90266037382305,3.55113483448426,0.0009424760170298,0.0009424760170298,0.0009424760170298,haoyu_2,22,M
0.5,0.5,0.5,0.473839594256053,0.473839594256053,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0571636583569491,Hongyun_Gao_2,31,M
1.0,0.5,0.5,0.825111328721548,0.951031482784132,0.704641338030425,0.0277012444395241,0.0345368999505986,0.0224771288524249,Hongyun_Gao_2,31,M
16.0,0.5,0.5,1.3414955777187,1.44240958408096,1.22209393231499,0.0130089994027034,0.0151683302510683,0.0115167625876771,Hongyun_Gao_2,31,M
-1.0,0.5,0.5,1.28143970252388,1.51384177609661,0.959603974450119,0.0140349075192408,0.022174795509498,0.0106082973394332,Hongyun_Gao_2,31,M
0.5,2.0,2.0,1.49783088943362,1.60159477036219,1.37326044029446,0.0101941639472103,0.0117732797254559,0.009125838957662,Hongyun_Gao_2,31,M
1.0,2.0,2.0,1.60248274850642,1.70343225979103,1.50053321789368,0.0091175184256891,0.0101637499587368,0.0082507136542606,Hongyun_Gao_2,31,M
16.0,2.0,2.0,2.62764157566201,2.78479535105863,2.46528197764909,0.0045125060129907,0.0048402534166899,0.0042660492745222,Hongyun_Gao_2,31,M
-1.0,2.0,2.0,2.07198827161349,2.26980059500952,1.9098005309087,0.0060884964395124,0.0068809927478461,0.0053641440963693,Hongyun_Gao_2,31,M
0.5,4.0,4.0,1.54086557035737,1.68201314025411,1.22756890108235,0.0082308788731335,0.01243017805114,0.0070289434445196,Hongyun_Gao_2,31,M
1.0,4.0,4.0,2.85307417837652,3.02859381500626,2.6313936175144,0.0035420216180632,0.0037396791064206,0.0034531805752443,Hongyun_Gao_2,31,M
16.0,4.0,4.0,3.63325198666002,3.82138918933885,3.39408576479194,0.0034213743734992,0.0034213743734992,0.0034213743734992,Hongyun_Gao_2,31,M
-1.0,4.0,4.0,3.25913451405164,3.42875137880262,3.09004923394778,0.0034015346055305,0.0034330933529629,0.0033980253631127,Hongyun_Gao_2,31,M
0.5,8.0,8.0,1.10843048890801,1.29529178038562,0.836323908896724,0.0127998256937678,0.0221278669345534,0.0090098450071623,Hongyun_Gao_2,31,M
1.0,8.0,8.0,1.80106374097155,2.00673608732325,1.59244796381723,0.0036857815669882,0.0052847707669234,0.0026178126311635,Hongyun_Gao_2,31,M
16.0,8.0,8.0,1.96289649289739,2.22140801864205,1.71325610159041,0.0028120697589659,0.0042833498299699,0.0018709674082708,Hongyun_Gao_2,31,M
-1.0,8.0,8.0,3.27692523627397,4.34350841154877,2.72521900714418,0.0008291089440471,0.001013192253138,0.0008291089440471,Hongyun_Gao_2,31,M
0.5,10.0,10.0,0.526805329172614,0.722736620192703,0.526805329172614,0.0489305196640431,0.0489305196640431,0.030790562465257,Hongyun_Gao_2,31,M
1.0,10.0,10.0,0.473839594256053,0.473839594256053,0.473839594256053,0.0562854411356575,0.0562854411356575,0.0562854411356575,Hongyun_Gao_2,31,M
16.0,10.0,10.0,1.8220325073696,2.42273187233638,1.8220325073696,0.0039454135727012,0.0039454135727012,0.0013186507481441,Hongyun_Gao_2,31,M
-1.0,10.0,10.0,2.11795668010244,2.54796504588817,2.11795668010244,0.0023186019423485,0.0023186019423485,0.0010408212941905,Hongyun_Gao_2,31,M
1.0,12.0,11.9,0.473839594256053,1.21451274945767,0.473839594256053,0.063013886775297,0.063013886775297,0.0152097194086498,Hongyun_Gao_2,31,M
16.0,12.0,11.9,2.74573564481876,2.92561963732975,2.53101552780516,0.0020945139615526,0.0026461933143649,0.0017468920729563,Hongyun_Gao_2,31,M
-1.0,12.0,11.9,2.39221553205904,2.54813974196293,2.18594848410776,0.0031045145784582,0.0039795561877369,0.0025957072569404,Hongyun_Gao_2,31,M
0.5,14.0,13.3,0.473839594256053,0.475340732645779,0.473839594256053,0.0704608163413424,0.0704608163413424,0.0702089145480994,Hongyun_Gao_2,31,M
16.0,14.0,13.3,1.21043426455003,1.35442382509939,1.01649397914188,0.0198644690681265,0.0260501067724459,0.0165226678492543,Hongyun_Gao_2,31,M
-1.0,14.0,13.3,2.71515466117761,2.91563790172643,2.49347975312715,0.004651210970314,0.0054491826316116,0.0040882096738507,Hongyun_Gao_2,31,M
0.5,16.0,14.9,0.473839594256053,0.555492445296518,0.473839594256053,0.0819619933183805,0.0819619933183805,0.0693628885327105,Hongyun_Gao_2,31,M
16.0,16.0,14.9,2.51936748968234,2.75794396716972,2.29951721920178,0.0103486523659367,0.011657451640144,0.0092262635562498,Hongyun_Gao_2,31,M
-1.0,16.0,14.9,2.25751518603369,2.42513938224535,2.09918268269241,0.0119448637438066,0.0131596393663598,0.0108724267088719,Hongyun_Gao_2,31,M
0.5,0.5,0.5,0.796272402999353,1.17052041162472,0.796272402999353,0.0291441389649727,0.0291441389649727,0.0162641437345722,Jane_2,23,F
1.0,0.5,0.5,0.755382570418146,1.39807491445743,0.755382570418146,0.0313856456047149,0.0313856456047149,0.0121396428539606,Jane_2,23,F
16.0,0.5,0.5,2.08864393625916,2.21582380816261,1.96096799145268,0.0060896983491679,0.0067867109873278,0.0055082978690548,Jane_2,23,F
-1.0,0.5,0.5,1.1673400996656,1.36181607651035,1.1673400996656,0.0163354218514231,0.0163354218514231,0.0126865766051607,Jane_2,23,F
0.5,2.0,2.0,1.49958567037821,1.63155435626633,1.12648372312885,0.0101743974297946,0.0162804787499844,0.0088521355420544,Jane_2,23,F
1.0,2.0,2.0,1.87359764487624,2.03393919184472,1.17383458295268,0.007088472900525,0.015233370278749,0.0062561353960455,Jane_2,23,F
16.0,2.0,2.0,5.02097931172358,5.58371731732082,4.67168385721962,0.0034225717749465,0.0034545506428776,0.0033558775580116,Jane_2,23,F
-1.0,2.0,2.0,3.14067350479145,3.29168630509933,2.99749478181985,0.0038914963219898,0.0040170024492788,0.0037874361075529,Jane_2,23,F
0.5,4.0,4.0,1.61937556831817,1.73016290191141,1.47557619059443,0.0075230776380093,0.008905889608018,0.0066865808293306,Jane_2,23,F
1.0,4.0,4.0,2.11755644910768,2.26046327191945,1.91450294907931,0.0048088865022554,0.0056255614110577,0.0043952343026332,Jane_2,23,F
16.0,4.0,4.0,3.09166688046492,3.41921968678321,2.76076571735302,0.0034326323587163,0.0036110454000059,0.0033976035764874,Jane_2,23,F
-1.0,4.0,4.0,3.94217993592706,4.15869697337311,3.60072044550527,0.0034945839730454,0.0034945839730454,0.0034945839730454,Jane_2,23,F
0.5,8.0,8.0,1.47144622430348,2.1188950976363,1.30172926474449,0.0065471925074283,0.0089037569296004,0.0021889599886549,Jane_2,23,F
1.0,8.0,8.0,4.73622798013035,5.19159862935365,4.39178329361049,0.0014840227237162,0.0014840227237162,0.0014840227237162,Jane_2,23,F
16.0,8.0,8.0,5.08484690057043,5.57876380742723,4.72580940060615,0.0016847531343194,0.0016847531343194,0.0016847531343194,Jane_2,23,F
-1.0,8.0,8.0,5.32500860447894,5.69240909223878,5.07607910031374,0.0018169794998004,0.0018169794998004,0.0018169794998004,Jane_2,23,F
0.5,0.5,0.5,0.871110882964364,0.968703995910283,0.773372730499056,0.0256063770606267,0.0303694159158413,0.0218602369425356,Maliha_2,29,F
1.0,0.5,0.5,1.39187845194152,1.65719086160012,1.09572160767555,0.0122306301159526,0.0180675752066361,0.0090814914349861,Maliha_2,29,F
16.0,0.5,0.5,1.27233169086035,1.39170343167032,1.14425833832863,0.0142007066596995,0.0168665056417815,0.0122332145926502,Maliha_2,29,F
-1.0,0.5,0.5,1.32209897104952,1.46833741101583,1.02488571541456,0.0133280489741305,0.0200535695767018,0.0111741212668247,Maliha_2,29,F
0.5,2.0,2.0,1.26081203085478,1.35655029898064,1.10468115530589,0.0135558701061743,0.0167988454142111,0.0120144223541847,Maliha_2,29,F
1.0,2.0,2.0,1.67369776150623,1.83147421310705,1.50711342166002,0.0084904982949425,0.0100903099349778,0.0073460686790735,Maliha_2,29,F
16.0,2.0,2.0,1.54916141441745,2.30595925119266,1.54916141441745,0.0096409954595709,0.0096409954595709,0.0052546613560492,Maliha_2,29,F
-1.0,2.0,2.0,2.25468220704335,2.7114141887179,2.05085311787094,0.005411812657114,0.0061803427372613,0.0043735270477521,Maliha_2,29,F
0.5,4.0,4.0,1.07649810000136,1.64214058786829,1.07649810000136,0.0156569958830054,0.0156569958830054,0.007336732977471,Maliha_2,29,F
1.0,4.0,4.0,2.08014378814772,2.23837558074394,1.88537310070711,0.0049370432213485,0.0057700910196769,0.0044519922451648,Maliha_2,29,F
16.0,4.0,4.0,3.91100657866917,4.14705277862303,3.634800292731,0.0034857164320874,0.0034857164320874,0.0034857164320874,Maliha_2,29,F
