Luminance,Size,VRR_f,Repeat,S_VRR
1,4,2,0,62.788435672176
1,4,2,1,62.788435672176
1,4,2,2,62.788435672176
1,4,2,3,62.788435672176
1,4,2,4,62.788435672176
1,4,2,5,62.788435672176
1,4,2,6,62.788435672176
1,4,2,7,62.788435672176
1,4,2,8,62.788435672176
1,4,2,9,62.788435672176
1,4,5,0,36.9489262391211
1,4,5,1,36.9489262391211
1,4,5,2,36.9489262391211
1,4,5,3,36.9489262391211
1,4,5,4,36.9489262391211
1,4,5,5,36.9489262391211
1,4,5,6,36.9489262391211
1,4,5,7,36.9489262391211
1,4,5,8,36.9489262391211
1,4,5,9,36.9489262391211
1,4,10,0,16.8528540823199
1,4,10,1,16.8528540823199
1,4,10,2,16.8528540823199
1,4,10,3,16.8528540823199
1,4,10,4,16.8528540823199
1,4,10,5,16.8528540823199
1,4,10,6,16.8528540823199
1,4,10,7,16.8528540823199
1,4,10,8,16.8528540823199
1,4,10,9,16.8528540823199
1,16,2,0,111.068063948034
1,16,2,1,111.068063948034
1,16,2,2,111.068063948034
1,16,2,3,111.068063948034
1,16,2,4,111.068063948034
1,16,2,5,111.068063948034
1,16,2,6,111.068063948034
1,16,2,7,111.068063948034
1,16,2,8,111.068063948034
1,16,2,9,111.068063948034
1,16,5,0,66.5819183965108
1,16,5,1,66.5819183965108
1,16,5,2,66.5819183965108
1,16,5,3,66.5819183965108
1,16,5,4,66.5819183965108
1,16,5,5,66.5819183965108
1,16,5,6,66.5819183965108
1,16,5,7,66.5819183965108
1,16,5,8,66.5819183965108
1,16,5,9,66.5819183965108
1,16,10,0,31.2485781336085
1,16,10,1,31.2485781336085
1,16,10,2,31.2485781336085
1,16,10,3,31.2485781336085
1,16,10,4,31.2485781336085
1,16,10,5,31.2485781336085
1,16,10,6,31.2485781336085
1,16,10,7,31.2485781336085
1,16,10,8,31.2485781336085
1,16,10,9,31.2485781336085
2,4,2,0,82.6267622134087
2,4,2,1,82.6267622134087
2,4,2,2,82.6267622134087
2,4,2,3,82.6267622134087
2,4,2,4,82.6267622134087
2,4,2,5,82.6267622134087
2,4,2,6,82.6267622134087
2,4,2,7,82.6267622134087
2,4,2,8,82.6267622134087
2,4,2,9,82.6267622134087
2,4,5,0,49.78702811979
2,4,5,1,49.78702811979
2,4,5,2,49.78702811979
2,4,5,3,49.78702811979
2,4,5,4,49.78702811979
2,4,5,5,49.78702811979
2,4,5,6,49.78702811979
2,4,5,7,49.78702811979
2,4,5,8,49.78702811979
2,4,5,9,49.78702811979
2,4,10,0,23.5244142757879
2,4,10,1,23.5244142757879
2,4,10,2,23.5244142757879
2,4,10,3,23.5244142757879
2,4,10,4,23.5244142757879
2,4,10,5,23.5244142757879
2,4,10,6,23.5244142757879
2,4,10,7,23.5244142757879
2,4,10,8,23.5244142757879
2,4,10,9,23.5244142757879
2,16,2,0,143.245447039936
2,16,2,1,143.245447039936
2,16,2,2,143.245447039936
2,16,2,3,143.245447039936
2,16,2,4,143.245447039936
2,16,2,5,143.245447039936
2,16,2,6,143.245447039936
2,16,2,7,143.245447039936
2,16,2,8,143.245447039936
2,16,2,9,143.245447039936
2,16,5,0,88.7281546256089
2,16,5,1,88.7281546256089
2,16,5,2,88.7281546256089
2,16,5,3,88.7281546256089
2,16,5,4,88.7281546256089
2,16,5,5,88.7281546256089
2,16,5,6,88.7281546256089
2,16,5,7,88.7281546256089
2,16,5,8,88.7281546256089
2,16,5,9,88.7281546256089
2,16,10,0,43.565037164075
2,16,10,1,43.565037164075
2,16,10,2,43.565037164075
2,16,10,3,43.565037164075
2,16,10,4,43.565037164075
2,16,10,5,43.565037164075
2,16,10,6,43.565037164075
2,16,10,7,43.565037164075
2,16,10,8,43.565037164075
2,16,10,9,43.565037164075
3,4,2,0,96.5831277103505
3,4,2,1,96.5831277103505
3,4,2,2,96.5831277103505
3,4,2,3,96.5831277103505
3,4,2,4,96.5831277103505
3,4,2,5,96.5831277103505
3,4,2,6,96.5831277103505
3,4,2,7,96.5831277103505
3,4,2,8,96.5831277103505
3,4,2,9,96.5831277103505
3,4,5,0,59.1164427632431
3,4,5,1,59.1164427632431
3,4,5,2,59.1164427632431
3,4,5,3,59.1164427632431
3,4,5,4,59.1164427632431
3,4,5,5,59.1164427632431
3,4,5,6,59.1164427632431
3,4,5,7,59.1164427632431
3,4,5,8,59.1164427632431
3,4,5,9,59.1164427632431
3,4,10,0,28.5845978183479
3,4,10,1,28.5845978183479
3,4,10,2,28.5845978183479
3,4,10,3,28.5845978183479
3,4,10,4,28.5845978183479
3,4,10,5,28.5845978183479
3,4,10,6,28.5845978183479
3,4,10,7,28.5845978183479
3,4,10,8,28.5845978183479
3,4,10,9,28.5845978183479
3,16,2,0,165.401864936584
3,16,2,1,165.401864936584
3,16,2,2,165.401864936584
3,16,2,3,165.401864936584
3,16,2,4,165.401864936584
3,16,2,5,165.401864936584
3,16,2,6,165.401864936584
3,16,2,7,165.401864936584
3,16,2,8,165.401864936584
3,16,2,9,165.401864936584
3,16,5,0,104.754176112637
3,16,5,1,104.754176112637
3,16,5,2,104.754176112637
3,16,5,3,104.754176112637
3,16,5,4,104.754176112637
3,16,5,5,104.754176112637
3,16,5,6,104.754176112637
3,16,5,7,104.754176112637
3,16,5,8,104.754176112637
3,16,5,9,104.754176112637
3,16,10,0,52.920642859364
3,16,10,1,52.920642859364
3,16,10,2,52.920642859364
3,16,10,3,52.920642859364
3,16,10,4,52.920642859364
3,16,10,5,52.920642859364
3,16,10,6,52.920642859364
3,16,10,7,52.920642859364
3,16,10,8,52.920642859364
3,16,10,9,52.920642859364
4,4,2,0,107.607294705296
4,4,2,1,107.607294705296
4,4,2,2,107.607294705296
4,4,2,3,107.607294705296
4,4,2,4,107.607294705296
4,4,2,5,107.607294705296
4,4,2,6,107.607294705296
4,4,2,7,107.607294705296
4,4,2,8,107.607294705296
4,4,2,9,107.607294705296
4,4,5,0,66.6976651062955
4,4,5,1,66.6976651062955
4,4,5,2,66.6976651062955
4,4,5,3,66.6976651062955
4,4,5,4,66.6976651062955
4,4,5,5,66.6976651062955
4,4,5,6,66.6976651062955
4,4,5,7,66.6976651062955
4,4,5,8,66.6976651062955
4,4,5,9,66.6976651062955
4,4,10,0,32.8217932549873
4,4,10,1,32.8217932549873
4,4,10,2,32.8217932549873
4,4,10,3,32.8217932549873
4,4,10,4,32.8217932549873
4,4,10,5,32.8217932549873
4,4,10,6,32.8217932549873
4,4,10,7,32.8217932549873
4,4,10,8,32.8217932549873
4,4,10,9,32.8217932549873
4,16,2,0,182.706497146127
4,16,2,1,182.706497146127
4,16,2,2,182.706497146127
4,16,2,3,182.706497146127
4,16,2,4,182.706497146127
4,16,2,5,182.706497146127
4,16,2,6,182.706497146127
4,16,2,7,182.706497146127
4,16,2,8,182.706497146127
4,16,2,9,182.706497146127
4,16,5,0,117.736718403566
4,16,5,1,117.736718403566
4,16,5,2,117.736718403566
4,16,5,3,117.736718403566
4,16,5,4,117.736718403566
4,16,5,5,117.736718403566
4,16,5,6,117.736718403566
4,16,5,7,117.736718403566
4,16,5,8,117.736718403566
4,16,5,9,117.736718403566
4,16,10,0,60.7638529209833
4,16,10,1,60.7638529209833
4,16,10,2,60.7638529209833
4,16,10,3,60.7638529209833
4,16,10,4,60.7638529209833
4,16,10,5,60.7638529209833
4,16,10,6,60.7638529209833
4,16,10,7,60.7638529209833
4,16,10,8,60.7638529209833
4,16,10,9,60.7638529209833
5,4,2,0,116.823767422809
5,4,2,1,116.823767422809
5,4,2,2,116.823767422809
5,4,2,3,116.823767422809
5,4,2,4,116.823767422809
5,4,2,5,116.823767422809
5,4,2,6,116.823767422809
5,4,2,7,116.823767422809
5,4,2,8,116.823767422809
5,4,2,9,116.823767422809
5,4,5,0,73.1889148879809
5,4,5,1,73.1889148879809
5,4,5,2,73.1889148879809
5,4,5,3,73.1889148879809
5,4,5,4,73.1889148879809
5,4,5,5,73.1889148879809
5,4,5,6,73.1889148879809
5,4,5,7,73.1889148879809
5,4,5,8,73.1889148879809
5,4,5,9,73.1889148879809
5,4,10,0,36.5376613792462
5,4,10,1,36.5376613792462
5,4,10,2,36.5376613792462
5,4,10,3,36.5376613792462
5,4,10,4,36.5376613792462
5,4,10,5,36.5376613792462
5,4,10,6,36.5376613792462
5,4,10,7,36.5376613792462
5,4,10,8,36.5376613792462
5,4,10,9,36.5376613792462
5,16,2,0,197.067450279496
5,16,2,1,197.067450279496
5,16,2,2,197.067450279496
5,16,2,3,197.067450279496
5,16,2,4,197.067450279496
5,16,2,5,197.067450279496
5,16,2,6,197.067450279496
5,16,2,7,197.067450279496
5,16,2,8,197.067450279496
5,16,2,9,197.067450279496
5,16,5,0,128.869364892928
5,16,5,1,128.869364892928
5,16,5,2,128.869364892928
5,16,5,3,128.869364892928
5,16,5,4,128.869364892928
5,16,5,5,128.869364892928
5,16,5,6,128.869364892928
5,16,5,7,128.869364892928
5,16,5,8,128.869364892928
5,16,5,9,128.869364892928
5,16,10,0,67.6485458769463
5,16,10,1,67.6485458769463
5,16,10,2,67.6485458769463
5,16,10,3,67.6485458769463
5,16,10,4,67.6485458769463
5,16,10,5,67.6485458769463
5,16,10,6,67.6485458769463
5,16,10,7,67.6485458769463
5,16,10,8,67.6485458769463
5,16,10,9,67.6485458769463
10,4,2,0,149.144459112113
10,4,2,1,149.144459112113
10,4,2,2,149.144459112113
10,4,2,3,149.144459112113
10,4,2,4,149.144459112113
10,4,2,5,149.144459112113
10,4,2,6,149.144459112113
10,4,2,7,149.144459112113
10,4,2,8,149.144459112113
10,4,2,9,149.144459112113
10,4,5,0,97.247094579757
10,4,5,1,97.247094579757
10,4,5,2,97.247094579757
10,4,5,3,97.247094579757
10,4,5,4,97.247094579757
10,4,5,5,97.247094579757
10,4,5,6,97.247094579757
10,4,5,7,97.247094579757
10,4,5,8,97.247094579757
10,4,5,9,97.247094579757
10,4,10,0,51.0073719633262
10,4,10,1,51.0073719633262
10,4,10,2,51.0073719633262
10,4,10,3,51.0073719633262
10,4,10,4,51.0073719633262
10,4,10,5,51.0073719633262
10,4,10,6,51.0073719633262
10,4,10,7,51.0073719633262
10,4,10,8,51.0073719633262
10,4,10,9,51.0073719633262
10,16,2,0,246.845775717111
10,16,2,1,246.845775717111
10,16,2,2,246.845775717111
10,16,2,3,246.845775717111
10,16,2,4,246.845775717111
10,16,2,5,246.845775717111
10,16,2,6,246.845775717111
10,16,2,7,246.845775717111
10,16,2,8,246.845775717111
10,16,2,9,246.845775717111
10,16,5,0,170.307192108495
10,16,5,1,170.307192108495
10,16,5,2,170.307192108495
10,16,5,3,170.307192108495
10,16,5,4,170.307192108495
10,16,5,5,170.307192108495
10,16,5,6,170.307192108495
10,16,5,7,170.307192108495
10,16,5,8,170.307192108495
10,16,5,9,170.307192108495
10,16,10,0,94.5120540899341
10,16,10,1,94.5120540899341
10,16,10,2,94.5120540899341
10,16,10,3,94.5120540899341
10,16,10,4,94.5120540899341
10,16,10,5,94.5120540899341
10,16,10,6,94.5120540899341
10,16,10,7,94.5120540899341
10,16,10,8,94.5120540899341
10,16,10,9,94.5120540899341
100,4,2,0,291.442906902732
100,4,2,1,291.442906902732
100,4,2,2,291.442906902732
100,4,2,3,291.442906902732
100,4,2,4,291.442906902732
100,4,2,5,291.442906902732
100,4,2,6,291.442906902732
100,4,2,7,291.442906902732
100,4,2,8,291.442906902732
100,4,2,9,291.442906902732
100,4,5,0,246.64722005925
100,4,5,1,246.64722005925
100,4,5,2,246.64722005925
100,4,5,3,246.64722005925
100,4,5,4,246.64722005925
100,4,5,5,246.64722005925
100,4,5,6,246.64722005925
100,4,5,7,246.64722005925
100,4,5,8,246.64722005925
100,4,5,9,246.64722005925
100,4,10,0,156.269177223536
100,4,10,1,156.269177223536
100,4,10,2,156.269177223536
100,4,10,3,156.269177223536
100,4,10,4,156.269177223536
100,4,10,5,156.269177223536
100,4,10,6,156.269177223536
100,4,10,7,156.269177223536
100,4,10,8,156.269177223536
100,4,10,9,156.269177223536
100,16,2,0,473.49247806429
100,16,2,1,473.49247806429
100,16,2,2,473.49247806429
100,16,2,3,473.49247806429
100,16,2,4,473.49247806429
100,16,2,5,473.49247806429
100,16,2,6,473.49247806429
100,16,2,7,473.49247806429
100,16,2,8,473.49247806429
100,16,2,9,473.49247806429
100,16,5,0,441.17892283527
100,16,5,1,441.17892283527
100,16,5,2,441.17892283527
100,16,5,3,441.17892283527
100,16,5,4,441.17892283527
100,16,5,5,441.17892283527
100,16,5,6,441.17892283527
100,16,5,7,441.17892283527
100,16,5,8,441.17892283527
100,16,5,9,441.17892283527
100,16,10,0,291.213467284977
100,16,10,1,291.213467284977
100,16,10,2,291.213467284977
100,16,10,3,291.213467284977
100,16,10,4,291.213467284977
100,16,10,5,291.213467284977
100,16,10,6,291.213467284977
100,16,10,7,291.213467284977
100,16,10,8,291.213467284977
100,16,10,9,291.213467284977
